GarageArea,KitchenQual,YearBuilt,YearRemodAdd,TotalSF
774,Gd,2007,2007,3650.0
308,TA,1962,1962,1788.0
432,TA,1921,2006,1840.0
857,Gd,2002,2002,3257.0
843,Gd,2001,2002,3082.0
400,Gd,2004,2005,2442.0
440,TA,1965,1965,2412.0
484,Gd,1999,1999,2112.0
297,TA,1973,1973,1450.0
440,TA,1941,1950,1953.0
397,Gd,2003,2004,2402.0
460,Gd,2005,2006,2724.0
442,TA,1966,1966,2595.0
451,TA,1954,1954,2742.0
528,Gd,1948,2005,
588,Gd,1978,1978,2792.0
400,Gd,2007,2007,2184.0
497,Gd,1990,1991,2405.0
625,TA,1950,1950,1040.0
528,Gd,2009,2009,1836.0
468,TA,1931,1950,2726.0
384,TA,1900,1950,2228.0
297,Gd,1938,1995,2163.0
420,Gd,2004,2004,1696.0
749,Gd,2003,2003,3744.0
396,TA,1951,1951,2056.0
398,Gd,2004,2004,2789.0
396,TA,1917,1950,2793.0
0,TA,1920,1998,2099.0
499,Ex,2000,2000,3160.0
308,TA,1920,1950,2024.0
672,TA,1920,1970,3509.0
672,Gd,1900,1996,
650,Gd,2001,2001,2986.0
576,TA,1976,1976,1865.0
765,Ex,2006,2006,3676.0
924,Gd,1954,2006,2936.0
672,TA,1959,1959,2296.0
280,TA,1971,1971,1900.0
471,Gd,1993,1994,2688.0
440,TA,1923,1950,2700.0
440,Gd,2007,2007,2632.0
615,TA,1970,1970,2884.0
500,TA,1971,2008,2156.0
544,Fa,1961,1961,2160.0
527,Gd,2002,2002,1827.0
240,TA,1946,1992,2040.0
280,TA,1954,1954,2119.0
874,Ex,2003,2004,3584.0
402,TA,1998,1998,
576,Gd,1920,1950,2358.0
434,Gd,2004,2005,2806.0
546,TA,1977,1977,
315,TA,1958,1958,2398.0
240,Gd,1922,2007,1950.0
420,TA,1950,1950,1048.0
273,TA,1938,1996,1076.0
600,TA,1979,1979,1886.0
603,Gd,2005,2005,2634.0
779,Gd,1999,1999,3992.0
275,TA,1958,1958,1824.0
308,TA,1956,1956,882.0
511,Gd,1998,1999,2742.0
850,Ex,2006,2006,4152.0
752,Gd,1995,1995,3849.0
240,Gd,1937,1950,2499.0
538,Gd,2006,2007,3198.0
389,Gd,1958,2006,3588.0
880,Gd,1893,2000,
477,TA,1984,2003,2453.0
541,Gd,2000,2000,3050.0
722,Gd,2007,2007,3142.0
0,TA,1910,1950,1592.0
432,TA,1892,1965,3366.0
402,Gd,1991,1992,1856.0
364,TA,1965,2001,1608.0
372,TA,2005,2005,2570.0
484,Gd,1974,1999,2349.0
694,Ex,2006,2006,4796.0
200,TA,1941,1950,1807.0
400,TA,1952,1952,2920.0
336,TA,1963,1963,2288.0
576,TA,1980,1980,2112.0
0,Fa,1941,1950,1386.0
576,Gd,1997,1997,2973.0
482,Gd,2004,2005,3240.0
352,TA,1972,1972,1728.0
750,Gd,2008,2008,3132.0
497,TA,1972,1972,2118.0
539,TA,1925,1950,1628.0
180,TA,1920,2004,2452.0
560,TA,1931,1950,2251.0
