OverallQual,GrLivArea,LotArea,LotFrontage,OverallCond,TotalBsmtSF,YearBuilt
9,1828,11694,90.0,5,1822,2007
5,894,6600,60.0,5,894,1962
5,964,13360,80.0,7,876,1921
8,1689,13265,70.04995836802665,5,1568,2002
7,1541,13704,118.0,5,1541,2001
7,1221,7500,62.0,5,1221,2004
6,1324,8658,84.0,5,1088,1965
7,1416,2572,24.0,5,696,1999
4,988,1596,21.0,5,462,1973
6,1218,6000,60.0,6,735,1941
7,1656,6931,60.0,5,746,2003
6,1362,7577,61.0,5,1362,2005
6,1839,7700,70.0,5,756,1966
6,1375,11310,75.0,5,1367,1954
5,1122,12000,100.0,7,924,1948
5,1432,16157,70.04995836802665,7,1360,1978
7,1456,9018,65.0,5,728,2007
7,1217,9947,70.04995836802665,5,1188,1990
5,1040,7200,60.0,7,0,1950
6,1224,3000,30.0,5,612,2009
7,1774,6120,51.0,5,952,1931
5,1367,8405,50.0,8,861,1900
5,1360,7200,60.0,6,803,1938
6,848,4426,70.04995836802665,5,848,2004
8,2262,12244,85.0,5,1482,2003
4,1220,8877,67.0,5,836,1951
7,1414,3072,70.04995836802665,5,1375,2004
6,2058,9600,60.0,5,735,1917
6,1198,5586,60.0,7,901,1920
8,1659,5664,40.0,5,1501,2000
6,1012,8263,59.0,5,1012,1920
7,3082,15863,102.0,3,824,1920
5,1812,7630,76.0,9,360,1900
7,1929,7050,70.04995836802665,5,1057,2001
5,954,10780,55.0,5,911,1976
9,1838,14601,85.0,5,1838,2006
6,1640,14778,70.04995836802665,7,1296,1954
5,1148,7931,70.0,5,1148,1959
5,950,9758,61.0,5,950,1971
8,1911,9554,80.0,5,777,1993
6,1635,8737,70.0,7,1065,1923
7,1316,11175,103.0,5,1316,2007
6,1442,11717,70.04995836802665,6,1442,1970
5,1078,12537,70.04995836802665,6,1078,1971
4,1120,6970,85.0,5,1040,1961
8,1419,7750,70.04995836802665,5,408,2002
7,1389,3378,60.0,8,651,1946
5,1063,9920,80.0,5,1056,1954
9,1792,11846,72.0,5,1792,2003
6,1216,4500,32.0,5,1216,1998
7,1762,7200,60.0,7,596,1920
7,1959,11796,59.0,5,847,2004
6,1208,11250,70.04995836802665,6,1208,1977
5,1524,11344,78.0,5,874,1958
4,1154,5436,40.0,8,796,1922
5,1048,7200,60.0,5,0,1950
5,886,5784,50.0,8,190,1938
5,943,7032,70.04995836802665,5,943,1979
7,1768,9803,75.0,5,866,2005
9,2599,14774,108.0,5,1393,1999
5,912,10150,70.0,5,912,1958
5,882,12702,70.0,5,0,1956
6,1337,4060,34.0,5,1405,1998
10,2076,13891,107.0,5,2076,2006
8,2531,12257,65.0,5,1318,1995
5,1768,7200,60.0,7,731,1937
8,1625,4750,44.0,5,1573,2006
6,2144,159000,70.04995836802665,7,1444,1958
10,2775,13500,75.0,9,1237,1893
6,1868,12090,78.0,7,585,1984
7,1525,9100,70.0,5,1525,2000
8,1571,10991,89.0,5,1571,2007
5,796,8777,67.0,7,796,1910
5,2372,6600,60.0,4,994,1892
7,1472,10784,70.04995836802665,5,384,1991
4,960,10246,70.04995836802665,9,648,1965
5,1838,21930,60.0,5,732,2005
